eng,sim,tra
"Hiking is an outdoor activity which consists of walking in natural environments, often on hiking trails.",远足是指在自然环境中（通常是在远足步道上）行走的户外活动。,健行是一種在自然環境中（通常是在健行步道上）行走的戶外活動。
Day hiking involves distances of less than a mile up to longer distances that can be covered in a single day.,单日徒步是指一天内走完的行程，行程距离可低至少于一英里。,單日健行為一英里以下或更長距離的單日行程。
"For a day hike along an easy trail little preparations are needed, and any moderately fit person can enjoy them.",沿着一条平缓的小径远足一天几乎不需要什么准备，并且任何人只要身体不算差，都可以享受远足的乐趣。,輕鬆小徑的一日健行，不必做太多準備，任何體能適中的人都能享受這樣的健行。
"Families with small children may need more preparations, but a day outdoors is easily possible even with babies and pre-school children.",有小孩的家庭可能需要做更多的准备，但即使带着婴儿和学龄前儿童，在户外待一天也不难。,帶著幼兒的家庭可能需要更多準備，不過就算是帶著嬰兒或是學齡前兒童，戶外一日遊也可以簡單達成。
"Internationally, there are nearly 200 running tour organizations. Most of them operate independently.",全球有近 200 个跑步旅游组织，大多独立运营。,國際上有近兩百個跑步旅遊組織。這些組織大多數獨立運作。
"The Global Running Tours successor, Go Running Tours networks dozens of sightrunning providers on four continents.",全球跑步之旅 (Global Running Tours) 的接替者 Go Running Tours 把四大洲数十个观光跑运营商连接起来。,Go Running Tours 接續 Global Running Tours 成立，在四大洲串連了數十個觀光路跑供應商。
"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours Prague based in Prague and others.",这个组织起源于巴塞罗那的“巴塞罗那跑步之旅”（Running Tours Barcelona ）组织和哥本哈根的“哥本哈根跑步”（Running Copenhagen）组织，很快布拉格的“布拉格跑步之旅”（ Running Tours Prague）及其他地区的组织也加入其中。,他們的總部位於巴塞隆納的 Running Tours Barcelona 和哥本哈根的 Running Copenhagen，位於布拉格的 Running Tours Prague 等各地組織也很快就加入他們。
There are many things you have to take into consideration before and when you travel somewhere.,出发前和旅途中，你必须考虑到很多方面。,旅行開始前或當你旅行時，有許多必須考慮的事。
"When you travel, expect things not to be like they are ""back home"". Manners, laws, food, traffic, lodging, standards, language and so on will to some extent differ from where you live.",当你旅行时，请不要期待一切就像“在家里”一样。 礼节、法律、饮食、交通、住宿、标准和语言等等都会与你居住的地方有所不同。,旅行時你會發現一切都和「家鄉」不一樣。無論禮節、法律、食物、交通、住宿、行為準則和語言等等，多少都會和你居住的地方有點差異。
"This is something you always need to keep in mind, to avoid disappointment or perhaps even distaste over local ways to do things.",这是你需要永远记在心上的一点，这样才能避免失望或者甚至对当地的做法表示厌恶。,這是您需要一直銘記於心的事情，才不會讓您感到失望，或甚至是對當地的做事方式感到厭惡。
"Travel agencies have been around since the 19th century. A travel agent is usually a good option for a journey which extends beyond a traveller's previous experience of nature, culture, language or low-income countries.",旅行社自 19 世纪一直存在至今。如果在一段旅程中，旅行者不熟悉目的地的自然、文化和语言，或者计划去低收入国家旅行，那么旅行社一般会是很好的选择。,旅行社早從十九世紀就存在了。如果旅行目的地的自然環境、文化、語言超出旅客本身的經驗，或者是低收入國家，那麼旅行社就是一個不錯的選擇。
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.",虽然大多数旅行社都愿意接受大部分的常规预约，但也有很多旅行社专门从事特定类型、特定预算范围或特定目的地的旅行业务。,雖然大部分的旅行社願意承接大多數的一般預訂，但是許多旅行社專營特定類型的旅行、預算範圍或目的地。
It can be better to use an agent who frequently books similar trips to yours.,最好找一个常常预订与你的旅程类似的代理。,最好是找經常預訂類似旅程的旅行社為您效勞。
"Take a look at what trips the agent is promoting, whether on a website or in a shop window.",看看旅行社推广什么旅游产品，可以在网站上或商店橱窗里查看。,你可以在網站或商店展示區看到旅行社推廣的行程。
"If you want to see the world on the cheap, for necessity, lifestyle or challenge, there are some ways to do that.",无论是出于必要、还是为了换换生活方式、挑战自我，如果你想花最少的钱看世界，有些办法可以帮你做到。,如果你出於必要、生活型態或挑戰等理由，想以便宜的價格遊覽世界，有一些方法可以做到。
"Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.",基本上，它们可分为两类：要么边旅行边工作，要么尽量减少开支。这篇文章着重于后者。,基本上，分為兩種類型：在您的旅途中工作或試著限制您的開支。本文主要討論後者。
"For those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.",对于那些愿意牺牲舒适度和时间，喜欢充满惊喜的旅行，并把开销降至接近于零的游客，请参阅《最低预算旅行攻略》。,如果您願意犧牲舒適、時間，和可預測性，以降低花費到接近於零，快來看看最低預算旅行！
"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.",该设想假定旅行者不会为了自己的利益而进行偷窃、非法侵入、参与非法市场、乞讨或为了私利剥削他人。,這個建議的前提是旅客不會為了自己的利益而偷竊、擅自闖入、參與非法買賣、乞討或以別的方式剝削他人。
"An immigration checkpoint is usually the first stop when disembarking from a plane, a ship, or another vehicle.",入境检查站通常是走下飞机、轮船或其他交通工具后经过的第一站。,步出飛機、船隻或其他交通工具時，入境檢查站通常都是第一站。
In some cross-border trains inspections are done on the running train and you should have valid ID with you when boarding one of those trains.,一些跨境列车的查验在车上进行；登上跨境列车时，应该携带有效的身份证件。,某些跨越邊境的火車會在行進時進行檢查，因此搭乘這種火車時，你應該攜帶有效的身分證明。
"On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.",在夜间卧铺列车上，为了不影响乘客睡眠，列车长可能会提前收取护照。,搭乘夜間臥鋪火車時，列車長可能會將護照收走，這樣就不會打斷你的睡眠。
"Registration is an additional requirement for the visa process. In some countries, you must register your presence and address where you are staying with the local authorities.",注册是签证流程的附加要求。在一些国家，你必须向当地政府登记你的存在和住址。,登記註冊是簽證流程中的附加要求。在某些國家/地區，你必須向當地政府機關登記入境和您的住宿地址。
This might require filling out a form with the local police or a visit to the immigration offices.,这可能需要去当地警察局填写表格或去一趟移民办公室。,可能須至當地警局填寫表單或走一趟移民局。
"In many countries with such a law, local hotels will handle the registration (make sure to ask).",在很多有这样法律的国家，当地的旅馆可以办理登记注册手续（一定要问清楚）。,由於許多國家都有這條法律，當地飯店將處理登記事宜（請務必要求）。
"In other cases, only those staying outside of tourist accommodations need to register.  However, this makes the law much more obscure, so find out beforehand.",在其他情况下，只有住在旅游住宿设施以外的人需要登记。不过这样一来，法律模糊了很多，所以要事先了解。,在其他情況下，只有那些不住遊客住宿處的人才需要註冊。然而，這會讓法律更模糊不清，因此請事先確認。
Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.,建筑学是一门研究建筑设计和建造的学科。一个地方的建筑往往本身就是旅游景点。,建築關乎建築物的設計和建造。某個地方的建築常因本身特色而成為旅遊景點。
Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold.,许多建筑物的外观都很漂亮，无论是从高楼上看去，还是从一个位置巧妙的窗口望出去，都会看到一幅美不胜收的景象。,許多建築物的外觀都非常美麗，從高樓或位置巧妙的窗口，可以飽覽令人驚嘆的美景。
"Architecture overlaps considerably with other fields including urban planning, civil engineering, decorative arts, interior design and landscape design.",建筑与城市规划、土木工程、装饰艺术、室内设计和景观设计等领域有相当多的重叠之处。,建築學與其他領域常有大量重疊，包括都市規劃、土木工程、裝飾藝術、室內設計和景觀設計等領域。
"Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.",鉴于许多普韦布洛人居住得非常偏远，你得前往阿尔伯克基或圣达菲才能享受到丰富的夜生活。,由於大多數印第安人村莊的所在地都非常遙遠，除非到阿布奎基或聖塔菲，否則不會有太多夜生活。
"However, nearly all of the casinos listed above serve drinks, and several of them bring in name-brand entertainment (primarily the large ones immediately surrounding Albuquerque and Santa Fe).",然而，上面列出的几乎所有赌场都供应饮料，其中一些赌场还提供知名的娱乐活动（主要是紧邻阿尔伯克基和圣达菲的大型赌场）。,不過，上面列出的賭場幾乎全都有供應飲料，其中的幾個賭場亦會請來知名的娛樂表演（主要是阿爾伯克基和聖塔菲周遭鄰近的較大賭場）。
Beware: small-town bars here are not always good places for the out-of-state visitor to hang out.,注意：对来自其他州的游客而言，这里的小镇酒吧并不总是闲逛的好地方。,提醒您：這兒的小鎮酒吧並非總適合外州來的遊客閒逛。
"For one thing, northern New Mexico has significant problems with drunk driving, and the concentration of intoxicated drivers is high close to small-town bars.",首先，新墨西哥州北部有严重的酒驾问题，并且小镇酒吧附近的司机酒驾的比例很高。,一方面是因為新墨西哥北部有嚴重的酒駕問題，而且小鎮酒吧附近的酒醉駕駛特別多。
Unwanted murals or scribble is known as graffiti.,擅自绘制的壁画或乱写乱涂被称为涂鸦。,我們將擅自加上去的壁畫或潦草字跡稱為塗鴉。
"While it's far from a modern phenomenon, most people probably associate it with youth vandalizing public and private property using spray paint.",尽管这绝不是现代才出现的现象，但大多数人很可能会将其与年轻人使用喷漆破坏公共和私有财产联系起来。,雖然這絕不是現代才有的現象，但提到塗鴉，或許大部分的人想到的都是年輕人用噴漆破壞公共或私人財產。
"However, nowadays there are established graffiti artists, graffiti events and ""legal"" walls. Graffiti paintings in this context often resemble artworks rather than illegible tags.",然而，如今已经有了成熟的涂鸦艺术家、涂鸦活动和“合法”涂鸦墙。在这种背景下创作的涂鸦绘画往往更类似于艺术品，而非难以辨认的标签。,不過，現今已有很多知名的塗鴉藝術家、塗鴉活動和「合法」塗鴉牆。這類的塗鴉繪畫通常類似於藝術品，而非難以辨別的標誌。
Boomerang throwing is a popular skill that many tourists want to acquire.,投掷回旋镖是很多游客都想学会的一项热门技能。,迴力鏢投擲是很多遊客想要獲得的熱門技能。
"If you want to learn throwing a boomerang that comes back to your hand, make sure you have a suitable boomerang for returning.",如果你想学掷回力镖，让它飞出去之后能飞回手中，请务必使用可以飞回的合适的回力镖。,如果你想學習如何讓迴力鏢丟出後回到你手上，請確定你有適合飛回來的迴力鏢。
Most boomerangs available in Australia are in fact non-returning. It is best for beginners to not try throwing in windy,实际上，澳大利亚市面上的大多数回旋镖都飞不回来。初学者最好不要尝试在大风中投掷回旋镖,大部分澳洲的迴力鏢其實是不會飛回來的。初學者最好應避免在風大時丟擲
A Hangi Meal is cooked in a hot pit in the ground.,Hangi 指的是烧窑美食。,毛利杭吉美食是在地下的熱坑中烹煮。
"The pit is either heated with hot stones from a fire, or in some places geothermal heat makes areas of ground naturally hot.",坑洞通过用火烧过的石头加热，在某些地方则是利用地热使地面自然变热。,他們會用火燒過的滾燙石頭加熱坑洞，某些地方則有地熱，讓附近的地面變得滾燙。
The hangi is often used to cook a traditional roast style dinner.,石头火锅经常用于烹饪传统的烤肉大餐。,土窯常用於烹煮傳統烘烤式的晚餐。
"Several places in Rotorua offer geothermal hangi, while other hangi can be sampled in Christchurch, Wellington and elsewhere.",罗托鲁瓦有几个地方提供地热窑烤 (hangi)，而在克赖斯特彻奇、惠灵顿和其他地方也可以品尝到其他做法的毛利窑烤。,在羅托魯瓦的幾個地方可以吃到地熱土窯料理，而在基督城、威靈頓和其他地方也能品嚐到其他土窯料理。
MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,开普敦城内和绕城的通勤火车上有 MetroRail 车厢，MetroRail 有两个等级：MetroPlus（也叫头等舱）和Metro（也叫三等舱）。,MetroRail通勤鐵路在開普敦及周圍地區的車廂有兩種艙等：MetroPlus（也稱為頭等艙）和 Metro（也稱為三等艙）。
"MetroPlus is more comfortable and less crowded but slightly more expensive, though still cheaper than normal metro tickets in Europe.",MetroPlus 更舒适，也没那么拥挤，但稍微贵了一点，即便如此还是比欧洲的普通地铁票便宜。,MetroPlus 艙等較舒適且較不擁擠，價格雖然稍貴一些，但還是比一般的歐洲地鐵票便宜。
Every train has both MetroPlus and Metro coaches; the MetroPlus coaches are always on the end of the train nearest Cape Town.,每列火车都有 MetroPlus 和 Metro 车厢；前者总是在火车靠近开普敦的那一端。,所有列車都有 MetroPlus 與 Metro 兩種車廂；MetroPlus 車廂都在最靠近開普敦的方向的列車尾端。
"Carrying for others - Never let your bags out of your sight, especially when you are crossing international borders.",为他人携带物品——千万不要让行李离开你的视线，尤其是在出入境时。,幫別人帶東西 - 絕對不要讓您的行李離開視線，特別是在您出入國境時。
"You could find yourself being used as a drug carrier without your knowledge, which will land you in a great deal of trouble.",你可能会发现自己被人利用，在不知情的情况下成了一个运毒者，这会让你陷入很大的麻烦。,你可能會在不知情的情況下發現自己被利用，變成攜帶毒品者，這會給你帶來很大的麻煩。
"This includes waiting in line, as drug-sniffing dogs could be used at any time without notice.",这包括排队等候，因为随时都可能在没有事先通知的情况下使用缉毒犬。,這包含排隊等候，因為緝毒犬可以在不另行通知的情況下，隨時查驗。
Some countries have exceedingly draconian punishments even for first time offenses; these can include prison sentences of over 10 years or death.,有些国家/地区甚至对初犯也会判以极其严厉的处罚；处罚可能包括 10 年以上的监禁或死刑。,有些國家就算對初犯也有嚴重的刑罰，包含 10 年以上徒刑或死刑。
Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,无人看管的袋子不仅是窃贼的目标，还会被当成炸弹威胁，引起当局的警惕和关注。,無人看管的包袋是竊賊的目標，也可能引起提防炸彈威脅的相關單位注意。
"At home, due to this constant exposure to the local germs, odds are very high that you're already immune to them.",在家时，由于会经常接触当地病菌，你极易对其产生免疫力。,由於在家持續接觸在地細菌，您很有可能已經對它們免疫了。
"But in other parts of the world, where the bacteriological fauna are new to you, you're far more likely to run into problems.",但在从来没有过细菌群的世界其他地方，你遇到问题的可能性要大得多。,但在世界的其他地方，當細菌群對您而言是新的，您更可能遇到麻煩。
"Also, in warmer climates bacteria both grow more quickly and survive longer outside the body.",而且，在温暖的气候下细菌既可以快速繁殖，又可以在体外存活更久。,此外，在溫暖的氣候下，細菌不但繁殖得更快，也能在體外存活較長的時間。
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.",于是“德里腹泻”、”法老的诅咒”和“蒙特祖玛的复仇”之类的灾祸就出现了。,從而催生了「德里肚」、「法老的詛咒」、「蒙特祖瑪的復仇」等多種旅人腹瀉之別稱。
"As with respiratory problems in colder climates, intestinal problems in hot climates are fairly common and in most cases are distinctly annoying but not really dangerous.",正如寒冷气候易发呼吸道问题，炎热气候也极易引发肠道问题。在绝大多数情况下，肠道问题会令人显著不适，但并非十分危险。,就像寒冷氣候常見的呼吸系統問題，腸道問題在炎熱氣候也相當普遍，而多數情況下確實很擾人，但並不真的危險。
If traveling in a developing country for the first time – or in a new part of the world – don't underestimate the potential culture shock.,如果你第一次去发展中国家旅行，或者去一个陌生的地方旅行，千万不要低估可能出现的文化冲击。,如果是第一次前往開發中國家，或是未曾到過的國家旅行的話，請不要低估可能的文化衝擊。
"Many a stable, capable traveler has been overcome by the newness of developing world travel, where many little cultural adjustments can add up quickly.",许多情绪稳定、能力较强的旅客都曾被在发展中国家旅行的新问题所吓倒，在那里，需要迅速适应接踵而至的许多细微文化差异。,許多身經百戰的資深旅人到開發中國家旅行都感受過陌生文化的震撼，在這種地方很快就會累積大量需要調適的文化差異。
"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize.",尤其是在刚开始的日子里，您可以考虑在西式和高质量的酒店、食物和服务上多花些钱，来帮助您适应环境。,尤其在一開始的時候，可以考慮多花一些錢在西式風格及品質的飯店、餐飲及服務上，以幫助適應。
Do not sleep on a mattress or pad on the ground in areas where you do not know the local fauna.,在不了解当地动物群的地区，切勿睡在地上的床垫或垫子上。,在您不了解當地的動物體系的地區，請勿睡在地上的床墊或墊子上。
"If you are going to camp out, bring a camp cot or hammock to keep you away from snakes, scorpions and such.",如果要去野营，请带上露营床或吊床，以免蛇和蝎子之类的危害。,如果你要在戶外露營，攜帶一張折疊床或吊床能讓你遠離蛇、蠍子等動物。
Fill your home with a rich coffee in the morning and some relaxing chamomile tea at night.,清晨在家享受香浓咖啡，夜晚则泡上令人放松的甘菊茶。,早晨讓家裡充盈濃郁的咖啡香，夜間則來點放鬆身心的洋甘菊茶。
"When you're on a staycation, you have the time to treat yourself and take a few extra minutes to brew up something special.",宅在家里度假，手头上时间多了，可以稍微多花点时间泡一杯特别的饮品，犒劳犒劳自己。,你居家度假時有充足時間犒賞自己，還可以花些時間培養特別的興趣。
"If you're feeling more adventurous, take the opportunity to juice or blend up some smoothies:",如果你想更新奇一点，可以利用这个机会榨些果汁或制作混合奶昔：,如果你更有冒險精神，你可以把握機會榨果汁或打一些果昔：
maybe you'll discover a simple beverage that you can make for breakfast when you're back to your daily routine.,也许你会发现一种在回归到规律的日常生活时，可以在早餐时制作的简单饮料。,或許你會找到某種簡單的飲品，可以讓你在回歸日常生活時搭配早餐飲用。
"If you live in a city with a varied drinking culture, go to bars or pubs in neighborhoods you don't frequent.",如果你生活的城市有多种饮酒文化，那就去那些你不常去的街区的酒吧或酒馆。,如果你生活在一個具有各種飲酒文化的城市裡，你應該去周遭平常不太去的酒吧或酒館。
"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings.",对于那些不熟悉医学术语的人来说，”传染性”和“触染性”这两个词的含义截然不同。,對不孰悉的醫學術語的人來說，非接觸傳染 ( infectious) 和接觸性傳染 ( contagious) 這兩個字有不同的意思。
"An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites.",传染病是由包括病毒、细菌、真菌和其他寄生物在内的病原体引起的疾病。,傳染性疾病是由病毒、細菌、真菌或其他寄生蟲等病原體造成的疾病。
A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,传染病是指在感染者附近极易传播的一类疾病。,傳染病是人在受感染者附近便容易被傳播的疾病。
"Many governments require visitors entering, or residents leaving, their countries to be vaccinated for a range of diseases.",多国政府要求入境游客或离境居民接种一系列疾病疫苗。,各國政府通常會要求入境的遊客和出境的居民注射各類疫苗，預防疾病。
These requirements may often depend on what countries a traveller has visited or intends to visit.,这些要求通常取决于旅行者已经访问或打算访问的国家。,這些要求時常取決於遊客曾經或打算造訪的國家。
"One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.",北卡罗来纳州夏洛特市的优势之一在于它为家庭提供了许多高质量的选择。,北卡羅萊納州的夏洛特有一個很大的優點，那就是親子家庭有很多高品質的選擇。
"Residents from other areas often cite family-friendliness as a primary reason for moving there, and visitors often find the city easy to enjoy with children around.",来自其他地区的住户常常评赞，家庭友好是他们移居那里的主要原因，而游客们也会发现带着孩子一起游览这座城市非常惬意。,家庭友善時常是居民從外地遷居此處的主要原因，也有很多遊客認為能輕鬆和孩子一起享受這座城市。
"In the past 20 years, the amount of child-friendly options in Uptown Charlotte has grown exponentially.",过去 20 年来，夏洛特上城区方便儿童的设施实现了指数级增长。,過去 20 年，夏洛特上城區適合兒童去的地方數量倍增。
"Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.",在夏洛特 (Charlotte) 生活的家庭除了特殊情况外，一般不使用出租车。,一般而言夏洛特市的家庭通常不會使用計程車，但在特定情況下使用計程車十分方便。
"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.",乘客超过 2 人则需要额外付费，所以这个选项可能比较昂贵，没有必要。,超過兩名乘客需支付額外的費用，所以這個做法可能會多花不必要的錢。
"Antarctica is the coldest place on Earth, and surrounds the South Pole.",南极洲环绕着南极，是地球上最冷的地方。,圍繞南極的南極洲是地球上最冷的地方。
"Tourist visits are costly, demand physical fitness, can only take place in summer Nov-Feb, and are largely limited to the Peninsula, Islands and Ross Sea.",旅行费用高昂，对身体素质要求也很高，并且只能在十一月至次年二月的夏季前往，游览地点主要限于半岛、群岛和罗斯海。,遊客來訪的花費頗高、需要體力、只能在 夏季 11 月到 2 月間進行，且範圍多限制在半島、島嶼和羅斯海。
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,在夏天，这里的四十余个基地会迎来几千名工作人员，其中的大多数人驻扎在此地区；一小部分人留下越冬。,在夏天，有數千名人員在近五十座基地內（多數位於那些地區）生活；少數人會留下過冬。
Inland Antarctica is a desolate plateau covered by 2-3 km of ice.,南极洲内陆是一片荒凉的高原，为 2-3 千米厚的冰所覆盖。,南極洲內陸是一片荒蕪的高原，上面覆蓋著 2-3 公里厚的冰層。
"Occasional specialist air tours go inland, for mountaineering or to reach the Pole, which has a large base.",偶尔会有专门的航空旅行团前往内陆旅行，参加登山活动，或前往南北极的大型基地。,專家偶爾會搭機進入南極州內陸登山，或前往位在南極點的大型基地。
The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole.,南极穿越公路 (South Pole Traverse)（或高速公路）始于罗斯海的麦克默多站 (McMurdo Station)，直通南极点，全长 1600 公里。,南極橫貫公路是一條一千六百公里長的道路，從羅斯海的麥克默多站一路通到南極。
"It's compacted snow with crevasses filled in and marked by flags. It can only be traveled by specialized tractors, hauling sleds with fuel and supplies.",雪被压实，缝隙也被填满，并用旗帜做了标记。只有专门的拖拉机以及拖着装有燃料和补给的雪橇才能通行。,它是壓實的雪地，裂縫也經過填補，有旗幟作為記號。只有駕駛專用拖拉機才能行駛，後方拖著載了燃油與物資的雪橇。
These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.,车子并不是很灵活，所以必须绕着横贯南极山脉，拐一个长长的的大弯才能来到高原。,它們不太靈活，所以路徑必須沿著橫貫南極山脈繞著長長的彎路才能抵達高原上方。
"The most common cause for accidents in winter is slippery roads, pavements (sidewalks) and especially steps.",冬天最常见的事故原因是道路和路面（人行道）湿滑，特别是台阶。,冬天最常見的意外成因是溼滑的馬路、人行道、及最容易發生危險的階梯。
"At a minimum, you need footwear with suitable soles. Summer shoes are usually very slippery on ice and snow, even some winter boots are deficient.",至少你需要鞋底适当的鞋子。穿夏季鞋在冰雪上行走通常很滑，甚至一些冬季靴也有所不足。,你至少需要合適的鞋底。夏季鞋類在冰面和雪地上通常會打滑，某些冬季靴款甚至也不足以止滑。
"The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.",鞋纹应该足够深，在5 毫米（1/5英寸）或以上；材料应在低温下足够柔软。,鞋底紋路應當夠深，至少達 5 公釐（1/5 英寸），且材質在冷天中仍保持柔軟。
"Some boots have studs and there is studded add-on equipment for slippery conditions, suitable for most shoes and boots, for the heels or heels and sole.",有的靴子有鞋钉；也有为湿滑路面设计的、带有鞋钉的扩展装备，适用于大多数鞋子和靴子，能装在鞋跟上，或同时装在鞋跟和鞋底上。,有些靴子帶有鞋釘，也有專為溼滑環境而設、適用於多數鞋子與靴子的拆卸式鞋釘，可僅裝配在鞋跟，或在鞋跟、鞋底皆裝。
"Heels should be low and wide. Sand, gravel or salt (calcium chloride) is often scattered on roads or paths to improve traction.",鞋跟应该低而宽。道路上经常会撒上细沙、砂石或盐粒（氯化钙），以增加摩擦力。,鞋跟應低且寬。道路或步道上常灑上沙子、碎石或鹽（氯化鈣），以增加摩擦力。
"Avalanches are not an abnormality; steep slopes can hold only so much slow, and the excess volumes will come down as avalanches.",雪崩并不是异常现象；陡坡上所能容纳的雪量有限，多余的雪就会以雪崩的形式坠落。,雪崩並非異常現象；陡峭斜坡能累積的雪量有限，多餘的積雪會掉下形成雪崩。
"The problem is that snow is sticky, so it needs some triggering to come down, and some snow coming down can be the triggering event for the rest.",问题是雪有很强的粘性。因此需要一些触发因素才能降雪，而有一点雪落下来也可能触发其他的雪下降。,問題是雪有黏性，因此需要一些契機才會滑落，而有些許的雪滑落後，才有可能帶動其他的雪塊崩落。
"Sometimes the original trigging event is the sun warming the snow, sometimes some more snowfall, sometimes other natural events, often a human.",有时起初的触发原因是太阳让雪变暖，有时是因为降雪多了些，有时是因为其他自然事件，但更常见的原因往往是人为因素。,原初的觸發事件有時是太陽使雪升溫，有時是下了更多雪，有時是其它自然事件，但更常是人為。
"A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.",龙卷风是一股气压极低的旋转气流柱，它能将周围的空气向内、向上吸入。,龍捲風是一個極低氣壓的旋轉空氣柱，它把周圍的空氣往內、往上吸。
"They generate high winds (often 100-200 miles/hour) and can lift heavy objects into the air, carrying them as the tornado moves.",龙卷风会产生强风（常常每小时 100-200 英里），能把重物抛到空中，并裹挟着它们向前移动。,它們會產生強風（通常為 100-200 英里/小時），且可以將重物抬舉至空中，並隨著龍捲風移動。
"They begin as funnels descending from storm clouds, and become ""tornadoes"" when they touch the ground.",刚开始时，漏斗状云从雷暴云中向下伸展，当它们接触地面时就变成了“龙卷风”。,它們開始時是從風暴雲中下降造成的漏斗，而後在接觸地面時成為「龍捲風」。
Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.,个人 VPN（虚拟专用网络）程序是规避政治审查和商业 IP 地理过滤的绝佳工具。,個人 VPN（虛擬私人網路）供應商為規避政治審查和商業 IP 地理過濾的極佳管道。
"They are superior to web proxies for several reasons: They re-route all Internet traffic, not only http.",它们优于网页代理的原因如下：它们重新路由所有互联网流量，而不仅仅是超文本传送协议 (http) 内容。,它們優於網路代理伺服器的理由有幾個：它們能重新導向所有網路流量，而非只有 http 的流量。
They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,它们通常会提供更高的带宽和更优质的服务。它们经过加密，更难被监视。,他們通常會提供更高的頻寬與更好的服務品質，且經過加密，因此較難被監控。
"The media companies routinely lie about the purpose of this, claiming that it is to ""prevent piracy"".",媒体公司照例撒谎以掩盖其目的，声称这是为了“防止盗版”。,媒體公司經常的在此舉的目的上說謊，聲稱這是為了「防止盜版」。
"In fact, region codes have absolutely no effect on illegal copying; a bit-for-bit copy of a disk will play just fine on any device where the original will.",事实上，区域码对非法复制毫无影响；一份逐位拷贝的磁盘副本在任何可以播放原盘的设备上都可以顺利播放。,實際上，區域碼完全無法防止盜版；逐位元複製的光碟可以在任何設備上，如同原版般正常播放。
The actual purpose is to give those companies more control over their markets; it's all about money spinning.,实际上的目的是为了让这些公司更好地控制他们的市场；一切都是为了圈钱。,實際目的是讓公司更能掌控他們的市場；一切都是為了賺錢。
"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.",因为呼叫是通过互联网路由的，因此你不必使用位于你居住地或旅行地点的通话公司。,由於通話是透過網際網路傳訊的，不需要用到住處或到訪處的電話公司。
"There is also no requirement that you obtain a local number from the community in which you live; you can obtain a satellite Internet connection in the wilds of Chicken, Alaska and select a number which claims you're in sunny Arizona.",是否在居住的社区获得本地号码，这点没有要求；你可以在阿拉斯加奇金的野外获得卫星互联网连接，然后选一个号码，显示你位于阳光明媚的亚利桑那州。,無需擁有居住社區的當地電話號碼；你可以在阿拉斯加州奇金野外取得衛星網際網路連線，然後選擇一組電話號碼，宣稱你人在陽光普照的亞利桑那州。
"Often, you have to buy a global number separately that allows PSTN phones to call you. Where the number is from makes a difference for people calling you.",很多时候，你必须单独购买一个可以在全球使用的号码，这样才能接听来自公共交换电话网 (PSTN) 电话的呼叫。该号码的来源地对主叫方有很大影响。,常見的情況是必須購買不同的國際電話號碼，才能接到 PSTN 電話。對打電話給你的人而言，號碼來自哪裡確實有差別。
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,实时文本翻译应用：能够自动将整段文本从一种语言转换成另一种语言的应用程序。,即時文本翻譯應用程式 – 可自動將整段文本從一種語言翻譯成另一種語言的應用程式。
Some of the applications in this category can even translate texts in foreign languages on signs or other objects in the real world when the user points the smartphone towards those objects.,某些此类应用程序甚至让用户把智能手机对着现实世界中的标志或其他物体，就能翻译上面的外语文字。,有些這種類型的應用程式甚至可翻譯現實世界中標誌或其他物件上的外文，用戶只要把智慧型手機對準這些物件。
